mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
566579000,Under way using engine,13.4,193.8,195.0,Tanker,28.0,184.0,7.0
355194000,Under way using engine,20.1,340.1,340.0,Cargo,32.0,237.0,9.7
566579000,Under way using engine,13.3,194.2,190.0,Tanker,28.0,184.0,7.0
219592000,Under way using engine,14.7,219.2,220.0,Passenger,26.0,169.0,6.3
266476000,Under way using engine,12.4,324.0,328.0,Tanker,17.0,119.0,6.2
355194000,Under way using engine,20.3,341.1,342.0,Cargo,32.0,237.0,9.7
266476000,Under way using engine,12.4,313.0,318.0,Tanker,17.0,119.0,6.2
355194000,Under way using engine,20.3,344.6,345.0,Cargo,32.0,237.0,9.7
566579000,Under way using engine,12.6,162.8,165.0,Tanker,28.0,184.0,7.0
266476000,Under way using engine,12.3,316.0,321.0,Tanker,17.0,119.0,6.2
257048880,Under way using engine,9.6,345.0,347.0,Cargo,13.0,111.0,5.7
355194000,Under way using engine,20.7,337.8,337.0,Cargo,32.0,237.0,9.7
266465000,Under way using engine,13.1,203.1,201.0,Tanker,19.0,120.0,7.8
355194000,Under way using engine,20.8,337.2,338.0,Cargo,32.0,237.0,9.7
266476000,Under way using engine,12.4,319.0,322.0,Tanker,17.0,119.0,6.2
266465000,Under way using engine,13.1,181.0,180.0,Tanker,19.0,120.0,7.8
355194000,Under way using engine,20.8,338.1,338.0,Cargo,32.0,237.0,9.7
566579000,Under way using engine,13.0,183.9,185.0,Tanker,28.0,184.0,7.0
266476000,Under way using engine,12.5,320.0,322.0,Tanker,17.0,119.0,6.2
257048880,Under way using engine,9.7,343.9,346.0,Cargo,13.0,111.0,5.7
219018172,Under way using engine,19.1,121.9,122.0,HSC,31.0,112.0,3.4
355194000,Under way using engine,20.5,340.5,340.0,Cargo,32.0,237.0,9.7
266465000,Under way using engine,13.3,164.8,164.0,Tanker,19.0,120.0,7.8
219024176,Under way using engine,23.1,332.0,330.0,Pilot,5.0,15.0,1.5
257048880,Under way using engine,9.8,344.7,346.0,Cargo,13.0,111.0,5.7
219018172,Under way using engine,23.8,121.5,122.0,HSC,31.0,112.0,3.4
355194000,Under way using engine,20.5,341.3,340.0,Cargo,32.0,237.0,9.7
219024176,Under way using engine,23.4,323.1,321.0,Pilot,5.0,15.0,1.5
266465000,Under way using engine,13.5,165.6,165.0,Tanker,19.0,120.0,7.8
219018172,Under way using engine,36.0,121.0,122.0,HSC,31.0,112.0,3.4
266476000,Under way using engine,12.5,322.0,322.0,Tanker,17.0,119.0,6.2
266476000,Under way using engine,12.5,321.0,322.0,Tanker,17.0,119.0,6.2
566579000,Under way using engine,10.4,165.5,168.0,Tanker,28.0,184.0,7.0
219018172,Under way using engine,36.1,115.2,116.0,HSC,31.0,112.0,3.4
219018172,Under way using engine,37.2,115.6,116.0,HSC,31.0,112.0,3.4
219018172,Under way using engine,37.1,103.7,104.0,HSC,31.0,112.0,3.4
355194000,Under way using engine,20.6,341.5,339.0,Cargo,32.0,237.0,9.7
355194000,Under way using engine,20.6,342.0,339.0,Cargo,32.0,237.0,9.7
219018172,Under way using engine,37.9,103.5,104.0,HSC,31.0,112.0,3.4
219018172,Under way using engine,38.7,102.8,104.0,HSC,31.0,112.0,3.4
266465000,Under way using engine,13.5,157.3,154.0,Tanker,19.0,120.0,7.8
219018172,Under way using engine,36.9,103.2,104.0,HSC,31.0,112.0,3.4
266476000,Under way using engine,12.6,324.0,323.0,Tanker,17.0,119.0,6.2
257048880,Under way using engine,10.0,344.7,344.0,Cargo,13.0,111.0,5.7
209956000,Under way using engine,9.8,226.3,228.0,Cargo,16.0,115.0,4.8
355194000,Under way using engine,20.2,319.1,317.0,Cargo,32.0,237.0,9.7
219018172,Under way using engine,34.6,102.4,103.0,HSC,31.0,112.0,3.4
355194000,Under way using engine,20.3,318.6,318.0,Cargo,32.0,237.0,9.7
266465000,Under way using engine,13.5,148.1,144.0,Tanker,19.0,120.0,7.8
231807000,Under way using engine,10.1,109.4,101.0,Cargo,14.0,38.0,6.2
219018172,Under way using engine,37.3,102.0,103.0,HSC,31.0,112.0,3.4
566579000,Under way using engine,7.3,191.1,189.0,Tanker,28.0,184.0,7.0
219018172,Under way using engine,36.5,100.6,102.0,HSC,31.0,112.0,3.4
